competition_id	event_id	n_pessoas
AquaticoAclimacaoOpen2024	222	48
AquaticoAclimacaoOpen2024	333	55
AquaticoAclimacaoOpen2024	333oh	36
AquaticoAclimacaoOpen2024	clock	22
AquaticoAclimacaoOpen2024	pyram	40
AquaticoAclimacaoOpen2024	skewb	28
AquaticoAclimacaoOpen2024	sq1	18
AquaticoAclimacaoOpen2025	222	43
AquaticoAclimacaoOpen2025	333	52
AquaticoAclimacaoOpen2025	777	14
AquaticoAclimacaoOpen2025	clock	28
AquaticoAclimacaoOpen2025	pyram	37
AquaticoAclimacaoOpen2025	skewb	29
AquaticoAclimacaoOpen2025	sq1	16
AquaticoAclimacaoOpen2026	333	56
AquaticoAclimacaoOpen2026	444	33
AquaticoAclimacaoOpen2026	555	31
AquaticoAclimacaoOpen2026	666	17
AquaticoAclimacaoOpen2026	777	17
AquaticoAclimacaoOpen2026	minx	27
ArenaBerno300City2025	333fm	5
ArenaBerno4CityFM2023	333fm	8
ArenaBerno5CityFM2024	333fm	11
ArenaBerno6CityFM2024	333fm	9
ArenaBerno7CityFM2024	333fm	12
ArenaBerno8CityFM2024	333fm	8
ArenaBernoCityFM2025	333fm	6
ArenaBernoCityTwist2024	333fm	7
BigCubata2023	333bf	8
BigCubata2023	444bf	6
BigCubata2023	555bf	4
BigCubataBLD2024	333bf	10
BigCubataBLD2024	444bf	10
BigCubataBLD2024	555bf	9
BigCubataBLDII2023	333bf	6
BigCubataBLDII2023	444bf	6
BigCubataBLDII2023	555bf	3
BiginAquaticoAclimacao2024	444	22
BiginAquaticoAclimacao2024	555	18
BiginAquaticoAclimacao2024	666	16
BiginAquaticoAclimacao2024	777	16
BiginAquaticoAclimacao2024	minx	20
BioAteneuSantos2023	222	24
BioAteneuSantos2023	333	29
BioAteneuSantos2023	444	17
BioAteneuSantos2023	clock	13
BioFortec2024	222	26
BioFortec2024	333	26
BioFortec2024	clock	18
BioFortec2024	pyram	17
BomViverOpen2024	222	22
BomViverOpen2024	333	24
Brasil7SquaringOpen2025	333fm	8
Brasil7SquaringOpen2025	777	10
Brasil7SquaringOpen2025	sq1	11
BrasilNihonClockiinOpen2024	clock	20
CamposdoJordaoOpen2025	222	46
CamposdoJordaoOpen2025	333	54
CamposdoJordaoOpen2025	333bf	10
CamposdoJordaoOpen2025	333oh	30
CamposdoJordaoOpen2025	444	27
CamposdoJordaoOpen2025	555	23
CamposdoJordaoOpen2025	666	14
CamposdoJordaoOpen2025	777	12
CamposdoJordaoOpen2025	clock	22
CamposdoJordaoOpen2025	minx	24
CamposdoJordaoOpen2025	pyram	36
CamposdoJordaoOpen2025	skewb	24
ColegioAstherOpen2023	222	58
ColegioAstherOpen2023	333	66
