id,name,cidade,RA_nome,year,month,day,grupo,lat,lon
AquaticoAclimacaoOpen2024,Aquático Aclimação Open 2024,São Paulo,RM de São Paulo,2024,9,29,Capital,-23.584459,-46.629515
AquaticoAclimacaoOpen2025,Aquático Aclimação Open 2025,São Paulo,RM de São Paulo,2025,5,18,Capital,-23.584459,-46.629515
AquaticoAclimacaoOpen2026,Aquático Aclimação Open 2026,São Paulo,RM de São Paulo,2026,5,31,Capital,-23.584348,-46.629546
ArenaBerno300City2025,Arena Bernô 300 City 2025,São Bernardo do Campo,RM de São Paulo,2025,5,10,RMSP exc. capital,-23.660541,-46.595313
ArenaBerno4CityFM2023,Arena Bernô 4 City FM 2023,São Bernardo do Campo,RM de São Paulo,2023,7,9,RMSP exc. capital,-23.660541,-46.595313
ArenaBerno5CityFM2024,Arena Bernô 5 City FM 2024,São Bernardo do Campo,RM de São Paulo,2024,2,4,RMSP exc. capital,-23.660541,-46.595313
ArenaBerno6CityFM2024,Arena Bernô 6 City FM 2024,São Bernardo do Campo,RM de São Paulo,2024,8,4,RMSP exc. capital,-23.660541,-46.595313
ArenaBerno7CityFM2024,Arena Bernô 7 City FM 2024,São Bernardo do Campo,RM de São Paulo,2024,9,8,RMSP exc. capital,-23.660541,-46.595313
ArenaBerno8CityFM2024,Arena Bernô 8 City FM 2024,São Bernardo do Campo,RM de São Paulo,2024,10,26,RMSP exc. capital,-23.660541,-46.595313
ArenaBernoCityFM2025,Arena Bernô City FM 2025,São Bernardo do Campo,RM de São Paulo,2025,4,13,RMSP exc. capital,-23.660541,-46.595313
ArenaBernoCityTwist2024,Arena Bernô City Twist 2024,São Bernardo do Campo,RM de São Paulo,2024,12,7,RMSP exc. capital,-23.660541,-46.595313
BigCubata2023,Big Cubata 2023,Cubatão,Santos,2023,3,18,Interior/Litoral,-23.911984,-46.462721
BigCubataBLD2024,Big Cubata BLD 2024,Cubatão,Santos,2024,10,5,Interior/Litoral,-23.911984,-46.462721
BigCubataBLDII2023,Big Cubata BLD II 2023,Cubatão,Santos,2023,10,28,Interior/Litoral,-23.911984,-46.462721
BiginAquaticoAclimacao2024,Big in Aquático Aclimação 2024,São Paulo,RM de São Paulo,2024,12,8,Capital,-23.584459,-46.629515
BioAteneuSantos2023,Bio Ateneu Santos 2023,Santos,Santos,2023,6,3,Interior/Litoral,-23.953963,-46.33794
BioFortec2024,Bio Fortec 2024,São Vicente,Santos,2024,8,3,Interior/Litoral,-23.967693,-46.378478
BomViverOpen2024,Bom Viver Open 2024,São Paulo,RM de São Paulo,2024,5,1,Capital,-23.643631,-46.604271
Brasil7SquaringOpen2025,Brasil Nihon Kiin 7-Squaring Open 2025,São Paulo,RM de São Paulo,2025,1,12,Capital,-23.583323,-46.639969
BrasilNihonClockiinOpen2024,Brasil Nihon Clockiin Open 2024,São Paulo,RM de São Paulo,2024,7,14,Capital,-23.583323,-46.639969
CamposdoJordaoOpen2025,Campos do Jordão Open 2025,Campos do Jordão,S. J. dos Campos,2025,2,15,Interior/Litoral,-22.735302,-45.588553
ColegioAstherOpen2023,Colégio Asther Open 2023,Campinas,Campinas,2023,4,1,Interior/Litoral,-22.918112,-47.043498
ColegioAstherOpen2025,Colégio Asther Open 2025,Campinas,Campinas,2025,9,6,Interior/Litoral,-22.918112,-47.043498
CosgeekOpen2026,Cosgeek Open 2026,Santana de Parnaíba,RM de São Paulo,2026,9,12,RMSP exc. capital,-23.438826,-46.921711
CubeBookCampinas2024,CubeBook Campinas 2024,Campinas,Campinas,2024,10,12,Interior/Litoral,-22.900847,-47.056835
